Id,log_GSS,Frequencies
p-log_GSS,-4.59168,0
p-log_GSS,-4.47165,0
p-log_GSS,-4.35162,0
p-log_GSS,-4.2316,0.301746
p-log_GSS,-4.11157,0
p-log_GSS,-3.99154,0.100748
p-log_GSS,-3.87151,0
p-log_GSS,-3.75149,0.0289277
p-log_GSS,-3.63146,0.214464
p-log_GSS,-3.51143,0.082793
p-log_GSS,-3.3914,0.00299252
p-log_GSS,-3.27138,0.0583541
p-log_GSS,-3.15135,0.0453865
p-log_GSS,-3.03132,0.0723192
p-log_GSS,-2.91129,0.0239401
p-log_GSS,-2.79127,0.00997506
p-log_GSS,-2.67124,0.0224439
p-log_GSS,-2.55121,0.0074813
p-log_GSS,-2.43118,0.0109726
p-log_GSS,-2.31116,0.0074813
p-log_GSS,-2.19113,0.00448878
p-log_GSS,-2.0711,0.00149626
p-log_GSS,-1.95107,0
p-log_GSS,-1.83105,0
p-log_GSS,-1.71102,0.00149626
p-log_GSS,-1.59099,0.00149626
p-log_GSS,-1.47096,0.000498753
p-log_GSS,-1.35093,0
p-log_GSS,-1.23091,0.000498753
p-log_GSS,-1.11088,0
g-log_GSS,-4.59168,0
g-log_GSS,-4.47165,0
g-log_GSS,-4.35162,0
g-log_GSS,-4.2316,0.0307372
g-log_GSS,-4.11157,0
g-log_GSS,-3.99154,0.0205253
g-log_GSS,-3.87151,0
g-log_GSS,-3.75149,0.00884012
g-log_GSS,-3.63146,0.0873851
g-log_GSS,-3.51143,0.0454707
g-log_GSS,-3.3914,0.00213382
g-log_GSS,-3.27138,0.0510593
g-log_GSS,-3.15135,0.0551745
g-log_GSS,-3.03132,0.11797
g-log_GSS,-2.91129,0.0487731
g-log_GSS,-2.79127,0.0301783
g-log_GSS,-2.67124,0.0768176
g-log_GSS,-2.55121,0.0374943
g-log_GSS,-2.43118,0.068638
g-log_GSS,-2.31116,0.0621856
g-log_GSS,-2.19113,0.0478586
g-log_GSS,-2.0711,0.0231672
g-log_GSS,-1.95107,0
g-log_GSS,-1.83105,0
g-log_GSS,-1.71102,0.0472489
g-log_GSS,-1.59099,0.0621857
g-log_GSS,-1.47096,0.0280953
g-log_GSS,-1.35093,0
g-log_GSS,-1.23091,0.0480618
g-log_GSS,-1.11088,0
