Id,Ss,Frequencies
p-S,-0.1,0
p-S,-0.0596667,0
p-S,-0.0193333,0
p-S,0.021,0.000498753
p-S,0.0613333,0
p-S,0.101667,0
p-S,0.142,0
p-S,0.182333,0.00149626
p-S,0.222667,0
p-S,0.263,0.00548628
p-S,0.303333,0
p-S,0.343667,0.00997506
p-S,0.384,0
p-S,0.424333,0.0169576
p-S,0.464667,0
p-S,0.505,0.0239401
p-S,0.545333,0.0508728
p-S,0.585667,0
p-S,0.626,0.0618454
p-S,0.666333,0.0862843
p-S,0.706667,0.0897756
p-S,0.747,0.12419
p-S,0.787333,0.113716
p-S,0.827667,0.108229
p-S,0.868,0.0947631
p-S,0.908333,0.122195
p-S,0.948667,0.0528678
p-S,0.989,0.0349127
p-S,1.02933,0.00199501
p-S,1.06967,0
g-S,-0.1,0
g-S,-0.0596667,0
g-S,-0.0193333,0
g-S,0.021,0.0480618
g-S,0.0613333,0
g-S,0.101667,0
g-S,0.142,0
g-S,0.182333,0.00508053
g-S,0.222667,0
g-S,0.263,0.0137682
g-S,0.303333,0
g-S,0.343667,0.00782401
g-S,0.384,0
g-S,0.424333,0.0374943
g-S,0.464667,0
g-S,0.505,0.0173246
g-S,0.545333,0.0638622
g-S,0.585667,0
g-S,0.626,0.0991211
g-S,0.666333,0.10537
g-S,0.706667,0.0386628
g-S,0.747,0.084286
g-S,0.787333,0.0686379
g-S,0.827667,0.090535
g-S,0.868,0.0563939
g-S,0.908333,0.147081
g-S,0.948667,0.0493319
g-S,0.989,0.0668089
g-S,1.02933,0.000355637
g-S,1.06967,0
