Id,log rank,log_GSS
0,0,-1.3182
1,0.30103,-1.55137
2,0.477121,-1.68343
3,0.60206,-1.68343
4,0.69897,-1.68343
5,0.778151,-1.80273
6,0.845098,-1.80273
7,0.90309,-1.80273
8,0.954243,-2.11225
9,1,-2.11225
10,1.04139,-2.11225
11,1.07918,-2.24487
12,1.11394,-2.24487
13,1.14613,-2.24487
14,1.17609,-2.28977
15,1.20412,-2.28977
16,1.23045,-2.28977
17,1.25527,-2.28977
18,1.27875,-2.28977
19,1.30103,-2.28977
20,1.32222,-2.31182
21,1.34242,-2.31182
22,1.36173,-2.31182
23,1.38021,-2.391
24,1.39794,-2.391
25,1.41497,-2.391
26,1.43136,-2.391
27,1.44716,-2.391
28,1.4624,-2.391
29,1.47712,-2.41328
30,1.49136,-2.41328
31,1.50515,-2.41328
32,1.51851,-2.41328
33,1.53148,-2.41328
34,1.54407,-2.41328
35,1.5563,-2.48791
36,1.5682,-2.48791
37,1.57978,-2.48791
38,1.59106,-2.48791
39,1.60206,-2.48791
40,1.61278,-2.48791
41,1.62325,-2.48791
42,1.63347,-2.48791
43,1.64345,-2.48791
44,1.65321,-2.48791
45,1.66276,-2.48791
46,1.6721,-2.48791
47,1.68124,-2.48791
48,1.6902,-2.50876
49,1.69897,-2.50876
50,1.70757,-2.50876
51,1.716,-2.5459
52,1.72428,-2.5459
53,1.73239,-2.5459
54,1.74036,-2.5459
55,1.74819,-2.5459
56,1.75587,-2.5459
57,1.76343,-2.58652
58,1.77085,-2.58652
59,1.77815,-2.58652
60,1.78533,-2.58652
61,1.79239,-2.58652
62,1.79934,-2.58652
63,1.80618,-2.61285
64,1.81291,-2.61285
65,1.81954,-2.61285
66,1.82607,-2.61285
67,1.83251,-2.61285
68,1.83885,-2.61285
69,1.8451,-2.61285
70,1.85126,-2.61285
71,1.85733,-2.61285
72,1.86332,-2.72589
73,1.86923,-2.72589
74,1.87506,-2.72589
75,1.88081,-2.72589
76,1.88649,-2.72589
77,1.89209,-2.72589
78,1.89763,-2.73779
79,1.90309,-2.73779
80,1.90849,-2.73779
81,1.91381,-2.75002
82,1.91908,-2.75002
83,1.92428,-2.75002
84,1.92942,-2.75002
85,1.9345,-2.75002
86,1.93952,-2.75002
87,1.94448,-2.76261
88,1.94939,-2.76261
89,1.95424,-2.76261
90,1.95904,-2.76261
91,1.96379,-2.76261
92,1.96848,-2.76261
93,1.97313,-2.78894
94,1.97772,-2.78894
95,1.98227,-2.78894
96,1.98677,-2.78894
97,1.99123,-2.78894
98,1.99564,-2.78894
99,2,-2.78894
100,2.00432,-2.78894
101,2.0086,-2.78894
102,2.01284,-2.78894
103,2.01703,-2.78894
104,2.02119,-2.78894
105,2.02531,-2.78894
106,2.02938,-2.78894
107,2.03342,-2.78894
108,2.03743,-2.78894
109,2.04139,-2.78894
110,2.04532,-2.78894
111,2.04922,-2.78894
112,2.05308,-2.78894
113,2.0569,-2.78894
114,2.0607,-2.78894
115,2.06446,-2.78894
116,2.06819,-2.78894
117,2.07188,-2.80273
118,2.07555,-2.80273
119,2.07918,-2.80273
120,2.08279,-2.80273
121,2.08636,-2.80273
122,2.08991,-2.80273
123,2.09342,-2.80273
124,2.09691,-2.80273
125,2.10037,-2.80273
126,2.1038,-2.80273
127,2.10721,-2.80273
128,2.11059,-2.80273
129,2.11394,-2.81697
130,2.11727,-2.81697
131,2.12057,-2.84693
132,2.12385,-2.84693
133,2.1271,-2.84693
134,2.13033,-2.87912
135,2.13354,-2.87912
136,2.13672,-2.87912
137,2.13988,-2.97187
138,2.14301,-2.97187
139,2.14613,-2.97187
140,2.14922,-2.97187
141,2.15229,-2.97187
142,2.15534,-2.97187
143,2.15836,-2.99306
144,2.16137,-2.99306
145,2.16435,-2.99306
146,2.16732,-2.99306
147,2.17026,-2.99306
148,2.17319,-2.99306
149,2.17609,-2.99306
150,2.17898,-2.99306
151,2.18184,-2.99306
152,2.18469,-2.99306
153,2.18752,-2.99306
154,2.19033,-2.99306
155,2.19312,-2.99306
156,2.1959,-2.99306
157,2.19866,-2.99306
158,2.2014,-2.99306
159,2.20412,-2.99306
160,2.20683,-2.99306
161,2.20952,-2.99306
162,2.21219,-2.99306
163,2.21484,-2.99306
164,2.21748,-2.99306
165,2.22011,-2.99306
166,2.22272,-2.99306
167,2.22531,-2.99306
168,2.22789,-2.99306
169,2.23045,-2.99306
170,2.233,-2.99306
171,2.23553,-2.99306
172,2.23805,-2.99306
173,2.24055,-2.99306
174,2.24304,-2.99306
175,2.24551,-2.99306
176,2.24797,-2.99306
177,2.25042,-2.99306
178,2.25285,-2.99306
179,2.25527,-3.01534
180,2.25768,-3.01534
181,2.26007,-3.01534
182,2.26245,-3.01534
183,2.26482,-3.01534
184,2.26717,-3.01534
185,2.26951,-3.03882
186,2.27184,-3.03882
187,2.27416,-3.03882
188,2.27646,-3.03882
189,2.27875,-3.03882
190,2.28103,-3.03882
191,2.2833,-3.03882
192,2.28556,-3.03882
193,2.2878,-3.03882
194,2.29003,-3.03882
195,2.29226,-3.03882
