Id,KC,log_GSS,S
0,41.8872,-3.99306,0.738285
1,39.0947,-2.61285,0.870864
2,30.7173,-3.69203,0.482066
3,33.5098,-3.08997,0.543564
4,44.6797,-3.51594,0.811278
5,27.9248,-2.24487,0.543564
6,36.3023,-3.08997,0.696212
7,36.3023,-3.69203,0.599314
8,41.8872,-3.08997,0.650022
9,33.5098,-4.29409,0.776556
10,36.3023,-3.99306,0.650022
11,47.4722,-3.69203,0.776556
12,41.8872,-4.29409,0.811278
13,33.5098,-2.5459,0.543564
14,30.7173,-3.21491,0.543564
15,44.6797,-3.99306,0.842658
16,47.4722,-4.29409,0.842658
17,50.2647,-3.99306,0.870864
18,44.6797,-4.29409,0.811278
19,27.9248,-3.03882,0.650022
20,25.1323,-2.72589,0.842658
21,27.9248,-3.69203,0.413817
22,53.0571,-4.29409,0.842658
23,41.8872,-3.69203,0.954434
24,44.6797,-4.29409,0.937734
25,36.3023,-4.29409,0.650022
26,41.8872,-3.99306,0.918296
27,27.9248,-4.29409,0.988699
28,30.7173,-3.69203,0.543564
29,41.8872,-4.29409,0.842658
30,50.2647,-4.29409,0.811278
31,53.0571,-4.29409,0.811278
32,39.0947,-3.69203,0.599314
33,44.6797,-3.69203,0.842658
34,36.3023,-4.29409,0.599314
35,39.0947,-3.99306,0.738285
36,44.6797,-4.29409,0.776556
37,41.8872,-2.78894,0.968461
38,47.4722,-4.29409,0.968461
39,30.7173,-2.5459,0.918296
40,47.4722,-3.391,0.776556
41,47.4722,-3.81697,0.776556
42,36.3023,-3.21491,0.896038
43,41.8872,-3.69203,0.738285
44,50.2647,-3.69203,0.776556
45,36.3023,-3.99306,0.918296
46,36.3023,-3.51594,0.811278
47,39.0947,-3.69203,0.918296
48,44.6797,-4.29409,0.842658
49,41.8872,-4.29409,0.896038
50,27.9248,-3.99306,0.413817
51,41.8872,-3.69203,0.650022
52,44.6797,-3.08997,0.896038
53,44.6797,-3.99306,0.870864
54,41.8872,-4.29409,0.738285
55,50.2647,-3.391,0.842658
56,47.4722,-2.99306,0.918296
57,50.2647,-3.59512,0.896038
58,36.3023,-2.78894,0.776556
59,41.8872,-3.44899,0.776556
60,36.3023,-3.59512,0.738285
61,30.7173,-2.41328,0.811278
62,36.3023,-4.29409,0.543564
63,33.5098,-3.08997,0.696212
64,39.0947,-2.61285,0.937734
65,44.6797,-3.29409,0.918296
66,50.2647,-3.51594,0.811278
67,41.8872,-4.29409,0.696212
68,39.0947,-4.29409,0.696212
69,36.3023,-3.44899,0.776556
70,39.0947,-3.69203,0.696212
71,33.5098,-3.08997,0.811278
72,22.3398,-1.68343,0.599314
73,33.5098,-3.69203,0.543564
74,44.6797,-4.29409,0.696212
75,33.5098,-2.78894,0.811278
76,41.8872,-3.69203,0.738285
77,39.0947,-2.78894,0.696212
78,36.3023,-2.99306,0.776556
79,39.0947,-3.59512,0.738285
80,22.3398,-3.08997,0.33729
81,39.0947,-3.59512,0.696212
82,41.8872,-3.81697,0.870864
83,44.6797,-3.59512,0.842658
84,36.3023,-3.69203,0.543564
85,36.3023,-2.75002,0.696212
86,36.3023,-3.21491,0.543564
87,30.7173,-3.99306,0.482066
88,41.8872,-3.21491,0.650022
89,36.3023,-3.59512,0.599314
90,36.3023,-3.391,0.599314
91,41.8872,-3.59512,0.842658
92,39.0947,-3.21491,0.650022
93,25.1323,-1.68343,0.599314
94,19.5474,-4.29409,0.870864
95,41.8872,-3.59512,0.937734
96,36.3023,-3.21491,0.650022
97,36.3023,-3.99306,0.599314
98,36.3023,-3.21491,0.738285
99,33.5098,-3.99306,0.696212
100,36.3023,-2.80273,0.811278
101,41.8872,-2.48791,0.870864
102,44.6797,-3.08997,0.842658
103,41.8872,-3.08997,0.842658
104,41.8872,-3.69203,0.776556
105,36.3023,-3.99306,0.811278
106,30.7173,-4.29409,0.482066
107,33.5098,-4.29409,0.543564
108,33.5098,-3.69203,0.599314
109,36.3023,-2.81697,0.842658
110,30.7173,-3.99306,0.954434
111,22.3398,-3.03882,0.249882
112,27.9248,-4.29409,0.33729
113,33.5098,-3.21491,0.738285
114,27.9248,-3.51594,0.33729
115,30.7173,-2.99306,0.482066
116,53.0571,-4.29409,0.870864
117,50.2647,-4.29409,0.896038
118,39.0947,-3.81697,0.776556
119,27.9248,-3.29409,0.776556
120,25.1323,-4.29409,0.33729
121,33.5098,-4.29409,0.482066
122,33.5098,-4.29409,0.954434
123,39.0947,-3.99306,0.918296
124,30.7173,-3.69203,0.413817
125,33.5098,-3.391,0.650022
126,39.0947,-3.69203,0.650022
127,39.0947,-3.69203,0.842658
128,41.8872,-3.69203,0.811278
129,25.1323,-4.29409,0.870864
130,44.6797,-3.99306,0.776556
131,39.0947,-3.33985,0.650022
132,25.1323,-3.59512,0.979869
133,39.0947,-2.99306,0.650022
134,39.0947,-3.81697,0.650022
135,41.8872,-4.29409,0.811278
136,27.9248,-2.84693,0.650022
137,41.8872,-3.59512,0.738285
138,44.6797,-3.21491,0.896038
139,27.9248,-3.69203,0.482066
140,27.9248,-3.69203,0.413817
141,44.6797,-4.29409,0.738285
142,39.0947,-2.72589,0.870864
143,33.5098,-2.84693,0.650022
144,39.0947,-4.29409,0.650022
145,50.2647,-4.29409,0.870864
146,44.6797,-3.51594,0.738285
147,44.6797,-3.391,0.776556
148,33.5098,-3.99306,0.918296
149,47.4722,-4.29409,0.776556
150,44.6797,-3.08997,0.811278
151,39.0947,-3.08997,0.738285
152,33.5098,-3.59512,0.599314
153,41.8872,-3.08997,0.738285
154,47.4722,-3.99306,0.842658
155,41.8872,-3.21491,0.842658
156,47.4722,-3.08997,0.776556
157,47.4722,-3.69203,0.738285
158,44.6797,-3.69203,0.738285
159,53.0571,-2.48791,0.811278
160,50.2647,-3.08997,0.842658
161,47.4722,-3.69203,0.811278
162,50.2647,-3.08997,0.776556
163,44.6797,-3.69203,0.811278
164,44.6797,-3.99306,0.896038
165,39.0947,-3.391,0.870864
166,41.8872,-3.391,0.842658
167,30.7173,-2.72589,0.650022
168,39.0947,-3.99306,0.650022
169,39.0947,-3.69203,0.776556
170,33.5098,-3.99306,0.811278
171,36.3023,-3.99306,0.954434
172,25.1323,-2.97187,0.413817
173,47.4722,-3.08997,0.776556
174,44.6797,-4.29409,0.776556
175,30.7173,-3.59512,0.988699
176,47.4722,-3.51594,0.811278
177,39.0947,-4.29409,0.870864
178,47.4722,-3.99306,0.968461
179,41.8872,-4.29409,0.738285
180,41.8872,-4.29409,0.776556
181,44.6797,-3.99306,0.696212
182,44.6797,-3.69203,0.842658
183,47.4722,-4.29409,0.842658
184,36.3023,-4.29409,0.543564
185,44.6797,-3.69203,0.696212
186,50.2647,-3.99306,0.842658
187,36.3023,-3.21491,0.696212
188,30.7173,-3.21491,0.870864
189,44.6797,-3.51594,0.776556
190,41.8872,-3.99306,0.776556
191,33.5098,-3.59512,0.650022
192,39.0947,-4.29409,0.650022
193,36.3023,-3.99306,0.543564
194,36.3023,-2.97187,0.650022
195,44.6797,-3.69203,0.738285
196,41.8872,-3.69203,0.776556
197,39.0947,-4.29409,0.896038
198,36.3023,-3.391,0.870864
199,39.0947,-3.21491,0.696212
200,50.2647,-3.69203,0.811278
201,47.4722,-4.29409,0.776556
202,39.0947,-4.29409,0.776556
203,41.8872,-3.59512,0.696212
204,39.0947,-3.21491,0.738285
205,41.8872,-3.99306,0.650022
206,39.0947,-3.69203,0.811278
207,55.8496,-3.99306,0.918296
208,33.5098,-3.69203,0.413817
209,33.5098,-3.69203,0.842658
210,41.8872,-4.29409,0.738285
211,47.4722,-4.29409,0.954434
212,22.3398,-4.29409,0.842658
213,47.4722,-3.99306,0.870864
214,50.2647,-3.69203,0.870864
215,47.4722,-4.29409,0.896038
216,41.8872,-3.69203,0.738285
217,30.7173,-3.69203,0.776556
218,36.3023,-2.5459,0.918296
219,39.0947,-3.51594,0.696212
220,33.5098,-4.29409,0.650022
221,44.6797,-3.69203,0.811278
222,36.3023,-3.2527,0.599314
223,44.6797,-4.29409,0.918296
224,41.8872,-4.29409,0.650022
225,41.8872,-4.29409,0.870864
226,39.0947,-3.69203,0.543564
227,47.4722,-3.69203,0.776556
228,47.4722,-3.69203,0.738285
229,41.8872,-3.69203,0.696212
230,41.8872,-3.99306,0.696212
231,27.9248,-2.391,0.811278
232,39.0947,-4.29409,0.811278
233,41.8872,-4.29409,0.776556
234,44.6797,-3.08997,0.776556
235,47.4722,-4.29409,0.842658
236,50.2647,-2.78894,0.842658
237,33.5098,-3.03882,0.599314
238,39.0947,-3.44899,0.842658
239,47.4722,-3.69203,0.776556
240,47.4722,-4.29409,0.918296
241,44.6797,-3.69203,0.650022
242,53.0571,-4.29409,0.918296
243,39.0947,-3.99306,0.776556
244,27.9248,-4.29409,0.413817
245,39.0947,-3.21491,0.870864
246,44.6797,-3.81697,0.811278
247,39.0947,-4.29409,0.842658
248,41.8872,-3.69203,0.842658
249,47.4722,-3.99306,0.738285
250,25.1323,-3.69203,0.918296
251,36.3023,-3.51594,0.599314
252,19.5474,-3.59512,0.988699
253,39.0947,-4.29409,0.738285
254,44.6797,-4.29409,0.811278
255,47.4722,-3.08997,0.811278
256,44.6797,-3.69203,0.776556
257,41.8872,-3.69203,0.811278
258,41.8872,-4.29409,0.696212
259,39.0947,-2.78894,0.918296
260,27.9248,-2.28977,0.599314
261,33.5098,-3.69203,0.543564
262,36.3023,-4.29409,0.776556
263,39.0947,-3.33985,0.937734
264,39.0947,-3.69203,0.650022
265,39.0947,-3.08997,0.811278
266,30.7173,-3.03882,0.650022
267,44.6797,-4.29409,0.870864
268,25.1323,-2.41328,0.413817
269,41.8872,-3.69203,0.776556
270,44.6797,-3.29409,0.870864
271,39.0947,-3.391,0.896038
272,41.8872,-3.21491,0.870864
273,44.6797,-3.08997,0.918296
274,33.5098,-3.391,0.896038
275,36.3023,-3.21491,0.870864
276,41.8872,-2.78894,0.738285
277,39.0947,-3.59512,0.918296
278,50.2647,-3.69203,0.842658
279,41.8872,-4.29409,0.842658
280,39.0947,-2.99306,0.696212
281,36.3023,-3.08997,0.776556
282,36.3023,-3.59512,0.599314
283,39.0947,-3.99306,0.696212
284,41.8872,-3.69203,0.650022
285,44.6797,-4.29409,0.776556
286,36.3023,-3.69203,0.937734
287,41.8872,-4.29409,0.918296
288,41.8872,-3.99306,0.776556
289,33.5098,-3.69203,0.738285
290,33.5098,-4.29409,0.599314
291,30.7173,-3.08997,0.599314
292,33.5098,-3.99306,0.599314
293,36.3023,-3.81697,0.543564
294,30.7173,-4.29409,0.696212
295,30.7173,-2.48791,0.954434
296,47.4722,-4.29409,0.842658
297,53.0571,-3.391,0.842658
298,41.8872,-3.21491,0.696212
299,53.0571,-3.99306,0.870864
300,41.8872,-3.99306,0.738285
301,33.5098,-3.99306,0.776556
302,39.0947,-3.51594,0.968461
303,19.5474,-2.76261,0.249882
304,22.3398,-3.69203,0.33729
305,39.0947,-3.99306,0.811278
306,30.7173,-4.29409,0.988699
307,47.4722,-3.99306,0.896038
308,36.3023,-2.99306,0.738285
309,36.3023,-2.78894,0.918296
310,44.6797,-3.69203,0.811278
311,33.5098,-3.21491,0.650022
312,27.9248,-3.391,0.599314
313,44.6797,-3.33985,0.738285
314,41.8872,-4.29409,0.696212
315,39.0947,-3.69203,0.738285
316,44.6797,-4.29409,0.696212
317,39.0947,-2.99306,0.870864
318,39.0947,-4.29409,0.599314
319,41.8872,-3.08997,0.896038
320,44.6797,-3.69203,0.870864
321,39.0947,-3.391,0.738285
322,33.5098,-3.21491,0.842658
323,41.8872,-3.99306,0.842658
324,36.3023,-4.29409,0.696212
325,36.3023,-3.99306,0.738285
326,41.8872,-3.81697,0.776556
327,47.4722,-3.69203,0.870864
328,44.6797,-3.391,0.811278
329,33.5098,-3.69203,0.870864
330,27.9248,-4.29409,0.842658
331,47.4722,-3.391,0.811278
332,44.6797,-3.21491,0.842658
333,41.8872,-4.29409,0.776556
334,39.0947,-4.29409,0.842658
335,47.4722,-4.29409,0.738285
336,39.0947,-3.59512,0.776556
337,41.8872,-3.69203,0.811278
338,33.5098,-2.48791,0.650022
339,30.7173,-3.08997,0.696212
340,36.3023,-3.08997,0.650022
341,44.6797,-3.391,0.738285
342,47.4722,-3.391,0.870864
343,44.6797,-4.29409,0.811278
344,33.5098,-3.14796,0.776556
345,33.5098,-3.391,0.543564
