Id,KC,log_GSS,TopHalf
0,41.8872,-3.99306,1
1,39.0947,-2.61285,0
2,30.7173,-3.69203,1
3,33.5098,-3.08997,1
4,44.6797,-3.51594,1
5,27.9248,-2.24487,1
6,36.3023,-3.08997,1
7,36.3023,-3.69203,1
8,41.8872,-3.08997,0
9,33.5098,-4.29409,1
10,36.3023,-3.99306,1
11,47.4722,-3.69203,1
12,41.8872,-4.29409,1
13,33.5098,-2.5459,0
14,30.7173,-3.21491,1
15,44.6797,-3.99306,1
16,47.4722,-4.29409,1
17,50.2647,-3.99306,1
18,44.6797,-4.29409,1
19,27.9248,-3.03882,1
20,25.1323,-2.72589,1
21,27.9248,-3.69203,1
22,53.0571,-4.29409,1
23,41.8872,-3.69203,1
24,44.6797,-4.29409,1
25,36.3023,-4.29409,1
26,41.8872,-3.99306,1
27,27.9248,-4.29409,1
28,30.7173,-3.69203,1
29,41.8872,-4.29409,1
30,50.2647,-4.29409,1
31,53.0571,-4.29409,1
32,39.0947,-3.69203,1
33,44.6797,-3.69203,1
34,36.3023,-4.29409,1
35,39.0947,-3.99306,1
36,44.6797,-4.29409,1
37,41.8872,-2.78894,0
38,47.4722,-4.29409,1
39,30.7173,-2.5459,1
40,47.4722,-3.391,0
41,47.4722,-3.81697,1
42,36.3023,-3.21491,1
43,41.8872,-3.69203,1
44,33.5098,-3.08997,1
45,50.2647,-3.69203,1
46,36.3023,-3.99306,1
47,36.3023,-3.51594,1
48,39.0947,-3.69203,1
49,44.6797,-4.29409,1
50,41.8872,-4.29409,1
51,27.9248,-3.99306,1
52,41.8872,-3.69203,1
53,44.6797,-3.08997,0
54,44.6797,-3.99306,1
55,44.6797,-4.29409,1
56,41.8872,-3.69203,1
57,41.8872,-4.29409,1
58,50.2647,-3.391,1
59,47.4722,-2.99306,0
60,50.2647,-3.59512,1
61,36.3023,-2.78894,0
62,41.8872,-3.44899,1
63,36.3023,-3.59512,1
64,30.7173,-2.41328,0
65,36.3023,-4.29409,1
66,33.5098,-3.08997,1
67,39.0947,-2.61285,0
68,44.6797,-3.29409,0
69,50.2647,-3.51594,1
70,41.8872,-4.29409,1
71,41.8872,-3.69203,1
72,39.0947,-4.29409,1
73,36.3023,-3.44899,1
74,39.0947,-3.69203,1
75,33.5098,-3.08997,1
76,22.3398,-1.68343,0
77,33.5098,-3.69203,1
78,44.6797,-4.29409,1
79,41.8872,-4.29409,1
80,33.5098,-2.78894,0
81,41.8872,-3.69203,1
82,39.0947,-2.78894,0
83,36.3023,-2.99306,0
84,39.0947,-3.59512,1
85,22.3398,-3.08997,1
86,39.0947,-3.59512,1
87,41.8872,-3.81697,1
88,44.6797,-3.59512,1
89,36.3023,-3.69203,1
90,36.3023,-2.75002,0
91,39.0947,-4.29409,1
92,36.3023,-3.21491,1
93,39.0947,-3.69203,1
94,30.7173,-3.99306,1
95,41.8872,-3.21491,1
96,36.3023,-3.59512,1
97,36.3023,-3.391,1
98,41.8872,-3.59512,1
99,39.0947,-3.21491,1
100,25.1323,-1.68343,0
